,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
1043,Franklin Ridge Trail,MODERATE,90,"Carquinez Shoreline Regional Park
",3.3 miles,980 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, views, wild flowers, wildlife, muddy,",4.1
1044,Secret Valley Loop,MODERATE,77,"Mount Diablo State Park
",6.0 miles,"1,282 feet",Loop,"kid friendly, hiking, horseback riding, mountain biking, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.4
1045,"Englesman, Long Meadow, Eucalyptus, Wilder Ridge Loop",MODERATE,58,"Wilder Ranch State Park
",9.6 miles,"1,204 feet",Loop,"kid friendly, hiking, nature trips, trail running, walking, forest, views, wild flowers, no dogs,",4.2
1046,Boucher Trail and Scott's Cabin Loop,MODERATE,49,"Palomar Mountain State Park
",3.4 miles,767 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife, blowdown, bugs, over grown, no dogs,",4.5
1047,Western Plateau Trail and Hawk Canyon Trail Loop,MODERATE,107,"Wildwood Regional Park
",5.4 miles,577 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, views, wild flowers, wildlife,",4.4
1048,PCT: CA Section C - Highway 10 to Highway 15 (Cajon Pass),HARD,56,"Mount San Jacinto State Park
",122.6 miles,"19,186 feet",Point to Point,"dog friendly, backpacking, camping, hiking, horseback riding, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife,",4.3
1049,Salt Creek Trail,EASY,81,"Salt Creek Beach Park
",7.6 miles,849 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, paved, views, wild flowers, wildlife,",4.4
1050,Whiting Road to Billy Goat Loop Trail,HARD,79,"Whiting Ranch Wilderness Park
",4.2 miles,"1,066 feet",Loop,"hiking, mountain biking, nature trips, trail running, bird watching, forest, views, wild flowers, no dogs,",4.2
1051,Azalea Lake and Flora Lake via Donner Summit Lakes Trail,MODERATE,48,"Tahoe National Forest
",2.7 miles,213 feet,Out & Back,"dogs on leash, hiking, nature trips, rock climbing, snowshoeing, walking, bird watching, beach, forest, lake, views, wild flowers, wildlife, bugs, snow,",4.6
1052,"Old Tree, Slate Creek, Bear Creek, and Peters Creek Trails",MODERATE,56,"Portola Redwoods State Park
",11.0 miles,"2,283 feet",Out & Back,"hiking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife, no dogs,",4.6
1053,"Canopy, Dipsea and Sun Trail Loop",MODERATE,64,"Mount Tamalpais State Park
",5.0 miles,"1,010 feet",Loop,"hiking, nature trips, trail running, forest, wildlife, no dogs,",4.7
1054,Scotts Flat Trail,MODERATE,66,"Nevada City, California
",6.3 miles,761 feet,Out & Back,"dogs on leash, hiking, mountain biking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife, snow,",4.4
1055,"Skyline Trail, Thatcher's Rim Rock Trail, and Lake Marie Road Loop",HARD,66,"Skyline Wilderness Park
",7.0 miles,"1,929 feet",Loop,"hiking, trail running, forest, lake, river, views, wild flowers, rocky, scramble, no dogs,",4.4
1056,Founders Grove Nature Trail,EASY,88,"Humboldt Redwoods State Park
",0.5 miles,29 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, forest, views, wild flowers, no dogs,",4.4
1057,Power Line Trail,MODERATE,89,"El Dorado National Forest
",3.5 miles,308 feet,Out & Back,"hiking, mountain biking, trail running,",4.3
1058,Ralph B. Clark Perimeter Trail,EASY,98,"Ralph B Clark Regional Park
",1.4 miles,95 feet,Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.2
1059,"Camp Ohlone Road to Little Yosemite, Geary Road, Backpack Road, McCorkle",MODERATE,53,"Sunol Regional Wilderness
",5.6 miles,"1,230 feet",Loop,"dog friendly, camping, hiking, nature trips, trail running, walking, bird watching, forest, lake, river, views, wild flowers, wildlife,",4.2
1060,Peters Canyon and East Ridge View Trail Loop,MODERATE,57,"Peters Canyon Regional Park
",4.0 miles,482 feet,Loop,"dogs on leash, kid friendly, hiking, trail running, views, wildlife, no shade,",4.5
1061,Cowles Mountain Service Road Loop,MODERATE,76,"Mission Trails Regional Park
",2.9 miles,879 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, views,",4.3
1062,Loma Alta and Big Rock Ridge Trail,MODERATE,72,"Lucas Valley Preserve
",6.7 miles,"1,322 feet",Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, trail running, views, wild flowers, rocky,",4.5
1063,Amir's Garden Trail,MODERATE,81,"Griffith Park
",1.1 miles,275 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.1
1064,Lake Hennessey Shoreline Trail / Alta Hennessey Loop,MODERATE,89,"Napa County Regional Park
",5.5 miles,708 feet,Loop,"dog friendly, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers,",4.2
1065,Hot Springs Canyon Trail,MODERATE,72,"Los Padres National Forest
",6.0 miles,"1,761 feet",Loop,"dog friendly, kid friendly, hiking, nature trips, bird watching, hot springs, views, wild flowers, rocky, no shade,",4.3
1066,"West Ridge Trail, Lynx, and Cholla Trails",MODERATE,56,"Aliso And Wood Canyons Regional Park
",5.3 miles,905 feet,Loop,"hiking, horseback riding, mountain biking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, rocky, scramble, washed out, no dogs,",4.4
1067,Lower Arroyo Seco Trail,EASY,87,"Lower Arroyo Park
",3.0 miles,160 feet,Loop,"dogs on leash, kid friendly, hiking, trail running, walking,",4
1068,West Fork National Scenic Bikeway,EASY,47,"Angeles National Forest
",14.5 miles,"1,164 feet",Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, camping, fishing, mountain biking, nature trips, road biking, trail running, walking, bird watching, forest, paved, views, wild flowers, wildlife,",4.4
1069,Trinidad Head Lighthouse,EASY,91,"Trinidad State Beach
",1.7 miles,314 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, beach, partially paved, views,",4.3
1070,Lake Fulmor,EASY,67,"San Jacinto Wilderness
",1.1 miles,68 feet,Loop,"dogs on leash, kid friendly, fishing, hiking, walking, lake, partially paved, views, bugs,",4
1071,Berdoo Canyon,MODERATE,97,"Joshua Tree National Park
",24.3 miles,"1,348 feet",Point to Point,"hiking, nature trips, off road driving, scenic driving, bird watching, views, rocky, no dogs,",4.3
1072,"Rodeo Valley, SCA and Julian Trail",MODERATE,54,"Golden Gate National Recreation Area
",5.6 miles,987 feet,Loop,"hiking, horseback riding, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4.3
1073,"Cherry Canyon: Owl, Liz's Loop, Cerro Negro Trails",MODERATE,89,"Cherry Canyon Park
",1.0 miles,229 feet,Loop,"dog friendly, kid friendly, hiking, mountain biking,",4.2
1074,"Rocky Ridge Road, Shady Red, Purple Trail, and Burton Creek",EASY,68,"Burton Creek State Park
",6.1 miles,610 feet,Loop,"dogs on leash, kid friendly, backpacking, cross country skiing, hiking, horseback riding, mountain biking, nature trips, skiing, snowshoeing, trail running, walking, bird watching, forest, views, wild flowers, wildlife, snow,",4.3
1075,Lodi Lake Nature Trail,EASY,109,"Lodi Lake Park
",1.8 miles,6 feet,Loop,"wheelchair friendly, kid friendly, stroller friendly, fishing, hiking, paddle sports, trail running, walking, forest, lake, views, wild flowers, wildlife, muddy, no dogs,",4
1076,Crestridge Ecological Reserve Trail,MODERATE,78,"Crestridge Ecological Reserve
",1.6 miles,187 feet,Loop,"dog friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.2
1077,French Trail via Redwood Gate,MODERATE,36,"Redwood Regional Park
",7.3 miles,"1,220 feet",Loop,"dog friendly, hiking, nature trips, trail running, walking, forest, views,",4.4
1078,Rowher OHV Trail to Bouquet Reservoir,HARD,79,"Angeles National Forest
",14.1 miles,"4,790 feet",Out & Back,"dogs on leash, off road driving, scenic driving, views,",4.5
1079,Laguna Mountain Ridge via the PCT,MODERATE,51,"Anza-Borrego Desert State Park
",16.6 miles,"2,198 feet",Out & Back,"dog friendly, backpacking, hiking, trail running, walking, views,",4.4
1080,Avenue of the Noble Giants,MODERATE,73,"Joseph D Grant County Park
",10.6 miles,"2,020 feet",Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wildlife,",4.2
1081,San Juan Hill,MODERATE,91,"Chino Hills State Park
",8.0 miles,"1,217 feet",Loop,"hiking, nature trips, views, wild flowers, no shade, no dogs,",4.1
1082,"Rock City, Wind Caves, and Sentinel Rock",EASY,70,"Danville, California
",0.8 miles,203 feet,Loop,"kid friendly, hiking, nature trips, walking, forest, views, wild flowers, wildlife, no dogs,",4.4
1083,San Francisco Bay Trail: Foster City and San Mateo Bikeways,EASY,80,"Shorebird Park
",10.4 miles,104 feet,Point to Point,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, mountain biking, nature trips, road biking, trail running, walking, bird watching, beach, partially paved, views,",4.2
1084,West Side Railroad Trail to the Tuolumne North Fork,MODERATE,82,"Stanislaus National Forest
",9.9 miles,"1,036 feet",Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, rails trails, river, views, wild flowers, wildlife, over grown,",4.1
1085,Mother Miguel Mountain via Sweetwater Park,MODERATE,66,"Sweetwater Summit Regional Park
",10.8 miles,"2,362 feet",Out & Back,"dogs on leash, hiking, horseback riding, nature trips, bird watching, lake, views, wild flowers, rocky, scramble,",4.2
1086,Mugu Peak Extended Loop,MODERATE,68,"Point Mugu State Park
",4.7 miles,"1,496 feet",Loop,"hiking, nature trips, walking, bird watching, river, views, wild flowers, wildlife, no dogs,",4.5
1087,Cataract Falls and Alpine Lake via Simmons Trail,MODERATE,33,"Mount Tamalpais Watershed
",5.4 miles,"1,361 feet",Out & Back,"dogs on leash, kid friendly, fishing, hiking, nature trips, walking, bird watching, forest, waterfall,",4.6
1088,Chamise Trail and Bollinger Creek Loop Trail,MODERATE,85,"Las Trampas Regional Park
",2.6 miles,698 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers,",4
1089,Dreaded Hill Loop Trail,HARD,84,"Whiting Ranch Wilderness Park
",4.8 miles,"1,079 feet",Loop,"hiking, horseback riding, mountain biking, nature trips, trail running, bird watching, forest, views, wild flowers, no dogs,",4.1
1090,Oso Flaco Lake Trail,EASY,89,"Oceano Dunes State Vehicular Recreation Area
",1.7 miles,22 feet,Out & Back,"kid friendly, hiking, nature trips, trail running, walking, bird watching, beach, lake, partially paved, wildlife, no dogs,",4.3
1091,Lagoon Valley Loop,EASY,90,"Lagoon Valley Park/Pena Adobe Park
",4.8 miles,426 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, lake, partially paved, wildlife,",4.1
1092,Grand Canyon of the Tuolumne,MODERATE,12,"Yosemite National Park
",45.2 miles,"9,878 feet",Loop,"backpacking, camping, hiking, forest, lake, river, views, waterfall, wildlife, bugs, no dogs,",4.8
1093,Granite & Hidden Lakes Trail,MODERATE,39,"El Dorado National Forest
",7.1 miles,980 feet,Loop,"dog friendly, backpacking, camping, hiking, trail running, forest, lake, views, wildlife, bugs,",4.2
1094,Frazier Falls Trail,EASY,67,"Plumas National Forest
",1.1 miles,82 feet,Out & Back,"dogs on leash, wheelchair friendly, kid friendly, stroller friendly, hiking, nature trips, walking, bird watching, forest, paved, views, waterfall, wild flowers, wildlife,",4.3
1095,Eagle Rock Via East Topanga Fire Road,MODERATE,43,"Topanga State Park
",3.8 miles,853 feet,Out & Back,"hiking, nature trips, trail running, walking, forest, views, no dogs,",4.7
1097,Pilot Creek Waterfalls (University Falls),MODERATE,62,"Georgetown, California
",4.8 miles,941 feet,Out & Back,"hiking, nature trips, walking, bird watching, forest, views, waterfall, wild flowers, no dogs,",3.7
1098,Lusardi Creek Loop Trail,MODERATE,71,"Rancho Santa Fe, California
",9.4 miles,"1,102 feet",Loop,"dogs on leash, hiking, mountain biking, trail running, walking, wild flowers,",3.6
1099,Crystal Mountain via PCT,EASY,80,"San Bernardino National Forest
",3.9 miles,570 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.2
1100,Santiago Canyon Trail,MODERATE,51,"Cleveland National Forest
",15.9 miles,"2,791 feet",Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.3
1101,Thunder Spring Trail,MODERATE,46,"Palomar Mountain State Park
",3.6 miles,764 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, forest, views, wild flowers, bugs, no dogs,",4.4
1102,Granite Chief Trail,MODERATE,50,"Tahoe National Forest
",6.5 miles,"1,965 feet",Out & Back,"dogs on leash, hiking, snowshoeing, forest, lake, views, wild flowers, wildlife, snow,",4.3
1103,Garden to Sky Trail,MODERATE,65,"Avalon, California
",2.8 miles,731 feet,Out & Back,"dogs on leash, hiking, nature trips, walking, forest, views, wildlife,",4.6
1104,Froom Canyon - Irish Hills Preserve,MODERATE,90,"Irish Hills Open Space
",4.1 miles,751 feet,Loop,"dogs on leash, hiking, mountain biking, trail running, views, waterfall, wild flowers, wildlife, rocky,",4.2
1105,May Lake High Sierra Camp from Tioga Pass Road,MODERATE,30,"Yosemite National Park
",6.4 miles,"1,076 feet",Out & Back,"backpacking, camping, hiking, nature trips, trail running, walking, bird watching, forest, lake, views, wild flowers, wildlife, snow, no dogs,",4.5
1106,Beacon Hill Fern Canyon Loop Trail,MODERATE,79,"Griffith Park
",3.4 miles,669 feet,Loop,"dogs on leash, kid friendly, hiking, horseback riding, nature trips, walking, bird watching, views, wild flowers,",4.1
1107,Calabasas Cold Creek Trail,MODERATE,58,"Calabasas Peak State Park
",3.6 miles,908 feet,Out & Back,"dogs on leash, kid friendly, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.4
1108,Sonoma Overlook Trail,EASY,73,"Sonoma State Historic Park
",2.4 miles,377 feet,Out & Back,"kid friendly, hiking, walking, views, wild flowers, wildlife, no dogs,",4.4
1109,North Rim Trail to Boccardo Trail,MODERATE,58,"Alum Rock Park
",8.2 miles,"1,587 feet",Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, river, views, wild flowers, wildlife, no dogs,",4.4
1110,Poly Canyon Loop Trail,MODERATE,60,"Peterson Ranch
",6.2 miles,"1,062 feet",Loop,"dogs on leash, hiking, trail running, views, wild flowers, wildlife, no shade,",4.2
1111,Barbara's Lake Loop Trail,EASY,88,"Laguna Coast Wilderness Park
",2.8 miles,334 feet,Loop,"kid friendly, hiking, nature trips, trail running, walking, bird watching, lake, views, wild flowers, no dogs,",4
1112,Sardine Lakes,EASY,31,"Tahoe National Forest
",1.8 miles,246 feet,Loop,"dog friendly, kid friendly, fishing, hiking, mountain biking, nature trips, off road driving, paddle sports, snowshoeing, walking, beach, forest, lake, river, views, waterfall, wild flowers, rocky,",4.5
1113,Hetch Hetchy Loop via Lake Vernon,HARD,40,"Yosemite National Park
",25.8 miles,"5,662 feet",Loop,"backpacking, camping, fishing, hiking, forest, lake, river, views, waterfall, wild flowers, wildlife, blowdown, bugs, rocky, snow, no dogs,",4.6
1114,Gabrielino Trail: Jet Propulsion Laboratory to the USFS Dam,MODERATE,73,"Angeles National Forest
",8.2 miles,639 feet,Out & Back,"dog friendly, camping, hiking, horseback riding, mountain biking, nature trips, trail running, walking, forest, partially paved, views,",4.3
